feature,prominence
d h,0.0038291803351201774
n e,0.003821487514048754
ad ,0.00382140391722321
 or,0.0038191964986479415
a s,0.003810827504401978
ip,0.0037915241013232455
pu,0.0037914199991533628
gra,0.0037898038442329544
aw,0.0037858682869729315
ew ,0.003784418017907127
s b,0.0037818820410850168
orm,0.0037817667294837757
00,0.0037807523390238082
n w,0.0037767792402622607
tte,0.003774298218542795
tur,0.0037711587947171126
lan,0.003769794851003508
r p,0.003768215913046427
rit,0.0037663344017384317
r s,0.0037633679403134435
hin,0.0037576334565846653
rti,0.0037569327043349542
20,0.003751121193469286
ys,0.0037509302825016583
uc,0.0037507295871050737
 af,0.003750188302547642
act,0.0037497076024412624
sho,0.0037450976106844
oul,0.00373898927168965
ong,0.0037366830533620086
vbp nns,0.003735886560281098
pol,0.003731977574384446
 ju,0.0037318872389681293
jj rb,0.003725890097076963
ona,0.0037204590545875426
"n,",0.003719122707003466
r e,0.0037161120861226057
od,0.0037155129528766762
ary,0.0037149952138878675
nnps in,0.0037112582716085254
 ab,0.0037096038805652463
"n, ",0.0037061690292848662
t. ,0.003706062694768718
its,0.003701287782643184
sin,0.0036999275096717583
ond,0.003699896606512955
eu,0.0036936668742396065
lic,0.0036925933672590544
uld,0.003683733840503781
ned,0.0036789944141926096
aft,0.003676134657942144
s d,0.00367569881003939
fte,0.0036724980595204265
oli,0.003664869791117589
een,0.0036603867744503145
s r,0.0036603690741783866
hr,0.003659156574792412
 sp,0.0036549577465837123
n f,0.0036549219618312607
ali,0.003646815920567306
va,0.0036463431855535914
sd,0.0036413809991084835
l a,0.003640890385490477
ure,0.0036384389896722082
ui,0.003631254899028775
tho,0.0036305861636721014
 vo,0.0036294287559494954
pos,0.00362751462150232
ten,0.003626669327254211
ime,0.003623742963691439
nes,0.003620161367705564
rb nns,0.0036165411920428318
be ,0.003614982800280327
. i,0.0036116895390952046
 na,0.0036090569169652674
d f,0.003606272528176298
 k,0.0036048922108356555
ase,0.0036045002413911125
y o,0.0035987264730828325
nis,0.003587098741647775
ute,0.003582673829847115
to rb,0.003574650302702572
rou,0.0035678272953622563
sec,0.0035667425827364744
sda,0.003566439191746647
les,0.003563717142196436
s h,0.003558732472393139
wrb nnp,0.003557772091353213
o a,0.003556443632980748
wor,0.0035546951384370124
sig,0.0035533554089402755
als,0.0035515025811576847
n.,0.003551433930722905
gre,0.0035492287143103853
t r,0.0035466057004537527
up ,0.003542540870857559
ack,0.0035417620106347517
ree,0.003539310411840675
t f,0.0035368252424614983
ern,0.003527544711707849
sio,0.0035229547903875146
ey ,0.003522903647236048
mon,0.003519680938636368
dis,0.003519595256421422
eo,0.00351303577395155
 us,0.0035124555219818755
d w,0.0035120814557617263
ili,0.003509382209838791
3,0.003504503671323686
y. ,0.0035004871132481926
ds ,0.003500384390386495
tiv,0.0034985938877665503
eri,0.003498472227034251
cor,0.0034973828871988654
ins,0.0034958821703659736
ede,0.0034939866825476427
ms,0.0034924386070922285
ici,0.003491904141660128
wer,0.003489595656526396
 vi,0.00348548794027903
fed,0.003482840007663082
who,0.003482098866195395
n m,0.0034786776984042926
de ,0.003472079643615035
ori,0.0034719100488915136
ua,0.0034696734497158496
han,0.00346955345367558
prp cc,0.0034673892204849562
mer,0.003467084639304887
jj vbg,0.00345671573339598
sl,0.003453792463938698
 ta,0.0034422448436521326
rl,0.003438584107117338
h t,0.0034383903151107334
0 ,0.0034356270444412546
rce,0.003435374237395034
mil,0.00342298747567235
 20,0.0034202312590587277
rec,0.0034094662114901716
sto,0.0034079182305641643
mb,0.0034056585129232735
fir,0.003402461999940622
ndi,0.0034000571875059766
jj dt,0.0033975590158903985
lli,0.0033972017649464953
o s,0.003397085371786865
q,0.0033965996313978578
can,0.0033949741571260303
ntr,0.003390791927325205
et ,0.0033904081900003142
ug,0.0033901204230676603
wil,0.0033879119926116903
. a,0.0033802561473464236
dt rbs,0.003377736451800665
u ,0.0033699739935673123
dm,0.0033655970000252508
wn,0.0033650906553064817
gu,0.003361486416730423
us ,0.0033604761752011984
to vbg,0.0033596880524067434
tw,0.0033504919958946898
ls ,0.003342707721672968
nin,0.003341777925920847
fl,0.0033386633840349457
dr,0.003336545646347105
vot,0.003333585894657898
abo,0.003330802121252237
tl,0.0033289377362045606
 ap,0.003327704834330603
ope,0.0033268863964044243
nne,0.003325654877317267
ues,0.0033181725417296922
